repository,url,description,created_date,last_modified,stars,forks,aws_services,topics,solution_type,competency,customer_problems,solution_marketing,deployment_tools,deployment_level,deployment_readiness,primary_language,secondary_language,framework,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,genai_agentic,classification_method,classification_timestamp
"aws-samples/api-gateway-secure-pet-store","https://github.com/aws-samples/api-gateway-secure-pet-store","Amazon API Gateway sample using Amazon Cognito credentials through AWS Lambda","2015-08-20T17:42:06Z","2025-06-29T10:34:42Z","308","111","API Gateway; Cognito; DynamoDB; IAM; Lambda","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Objective-C","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","119","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:13.192775"
"aws-samples/amazon-bedrock-serverless-prompt-chaining","https://github.com/aws-samples/amazon-bedrock-serverless-prompt-chaining","Build complex; serverless; and highly scalable generative AI applications with prompt chaining.","2023-10-26T22:17:30Z","2025-10-23T20:53:06Z","308","89","Bedrock; Lambda; S3; Step Functions","","Innovation Catalysts","AI/ML","Complex Implementation","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:13.936181"
"aws-samples/aws-nodejs-sample","https://github.com/aws-samples/aws-nodejs-sample","Sample project to demonstrate usage of the AWS SDK for Node.js","2013-09-18T17:37:42Z","2025-09-30T07:07:58Z","307","170","S3","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","26","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:16.160559"
"aws-samples/amazon-cognito-example-for-external-idp","https://github.com/aws-samples/amazon-cognito-example-for-external-idp","An example for using Amazon Cognito together with an external IdP","2019-06-07T00:08:21Z","2025-10-01T15:27:14Z","307","72","API Gateway; CDK; CloudFormation; Cognito; DynamoDB","amazon-api-gateway; amazon-cognito; aws-amplify; aws-cdk; aws-lambda; serverless","Quick Wins","Security","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","24","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:16.527409"
"aws-samples/aws-cdk-intro-workshop","https://github.com/aws-samples/aws-cdk-intro-workshop","Introduction to the AWS CDK - Workshop","2018-10-17T17:14:24Z","2025-08-17T22:37:54Z","303","341","CDK","","Foundation Builders","DevOps","Development Efficiency","foundation","CDK","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","69","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:17.240314"
"aws-samples/karpenter-blueprints","https://github.com/aws-samples/karpenter-blueprints","Karpenter Blueprints is a list of common workload scenarios following best practices. You'll find here details of why configuring the Karpenter and Kubernetes objects in such a way is important when using Karpenter on EKS.","2023-10-12T07:24:02Z","2025-10-18T03:58:57Z","303","57","EKS; IAM","karpenter","Innovation Catalysts","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","HCL","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","8","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:17.605307"
"aws-samples/prompt-engineering-with-anthropic-claude-v-3","https://github.com/aws-samples/prompt-engineering-with-anthropic-claude-v-3","This course is intended to provide you with a comprehensive step-by-step understanding of how to engineer optimal prompts within Claude; using Bedrock. **After completing this course; you will be able to**:","2024-04-03T13:53:43Z","2025-10-23T20:55:29Z","302","91","Bedrock","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:18.642115"
"aws-samples/aws-deployment-pipeline-reference-architecture","https://github.com/aws-samples/aws-deployment-pipeline-reference-architecture","Reference architecture for deployment pipelines","2022-08-08T16:26:40Z","2025-09-02T21:03:23Z","301","61","General AWS","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","53","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:20.889329"
"aws-samples/aws-ai-ml-workshop-kr","https://github.com/aws-samples/aws-ai-ml-workshop-kr","A collection of localized (Korean) AWS AI/ML workshop materials for hands-on labs.","2018-09-10T22:38:57Z","2025-10-22T06:10:03Z","300","164","SageMaker","ai; algorithms; aws; deep-learning; hands-on; machine-learning; ml; sagemaker; workshop","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:21.203055"
"aws-samples/aws-cognito-apigw-angular-auth","https://github.com/aws-samples/aws-cognito-apigw-angular-auth","A simple/sample AngularV4-based web app that demonstrates different API authentication options using Amazon Cognito and API Gateway with an AWS Lambda and Amazon DynamoDB backend that stores user details in a complete end to end Serverless fashion.","2017-05-26T19:53:45Z","2025-10-21T20:45:41Z","299","116","API Gateway; CloudFormation; CloudFront; Cognito; DynamoDB","amazon-cognito; angular4; api-gateway; aws-lambda; cloudformation; cognito-user-pool; dynamodb; sam","Innovation Catalysts","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:21.547462"
"aws-samples/serverless-rust-demo","https://github.com/aws-samples/serverless-rust-demo","Sample serverless application written in Rust","2021-09-23T06:47:16Z","2025-09-19T00:55:03Z","298","30","API Gateway; CloudWatch; DynamoDB; Lambda","lambda; rust; serverless","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Rust","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","37","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:21.889834"
"aws-samples/lambda-ecs-worker-pattern","https://github.com/aws-samples/lambda-ecs-worker-pattern","This example code illustrates how to extend AWS Lambda functionality using Amazon SQS and the Amazon EC2 Container Service (ECS).","2015-07-28T17:15:24Z","2025-07-31T19:58:00Z","292","46","EC2; ECS; Lambda; S3; SQS","","Quick Wins","General Development","Development Efficiency","starter","Manual","Production Ready","Beta Ready","POV-Ray SDL","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","86","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:22.584119"
"aws-samples/aws-lambda-fanout","https://github.com/aws-samples/aws-lambda-fanout","A sample AWS Lambda function that accepts messages from an Amazon Kinesis Stream and transfers the messages to another data transport.","2016-08-11T19:33:31Z","2025-02-26T05:54:21Z","289","60","CloudWatch; DynamoDB; Kinesis; Lambda; OpenSearch","","Foundation Builders","Analytics","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","242","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:24.825136"
"aws-samples/algorithmic-trading","https://github.com/aws-samples/algorithmic-trading","In this workshop; participants will learn how to load and store financial data on AWS from AWS Data Exchange and other external data sources and how to build and backtest algorithmic trading strategies with Amazon SageMaker that use technical indicators and advanced machine learning models.","2020-01-28T00:35:56Z","2025-10-20T06:35:45Z","288","112","Athena; Glue; S3; SageMaker","","Innovation Catalysts","AI/ML","Time to Market","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","6","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:25.901323"
"aws-samples/serverless-pdf-chat","https://github.com/aws-samples/serverless-pdf-chat","LLM-powered document chat using Amazon Bedrock and AWS Serverless","2023-09-30T10:00:31Z","2025-10-24T02:32:01Z","288","272","Bedrock; Cognito; DynamoDB; Lambda; S3","ai; amazon-bedrock; serverless","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:26.248200"
"aws-samples/aws-serverless-samfarm","https://github.com/aws-samples/aws-serverless-samfarm","This repo is full CI/CD Serverless example which was used in the What's New with AWS Lambda presentation at Re:Invent 2016.","2016-12-19T22:53:38Z","2025-10-21T08:59:05Z","284","236","API Gateway; CloudFormation; CodeBuild; CodePipeline; Lambda","aws; aws-lambda; ci-cd; lambda; serverless","Quick Wins","DevOps","Development Efficiency","starter","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:26.640000"
"aws-samples/aws-cdk-changelogs-demo","https://github.com/aws-samples/aws-cdk-changelogs-demo","This is a demo application that uses modern serverless architecture to crawl changelogs from open source projects; parse them; and provide an API and website for viewing them.","2019-03-21T17:51:03Z","2025-10-21T08:57:06Z","283","43","CDK; CloudFormation; CloudFront; Fargate; Lambda","aws; aws-fargate; aws-lambda; nodejs; serverless","Foundation Builders","DevOps","Development Efficiency","foundation","CDK","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:26.975166"
"aws-samples/eb-node-express-sample","https://github.com/aws-samples/eb-node-express-sample","Sample Express application for AWS Elastic Beanstalk","2015-07-27T21:31:56Z","2025-10-12T05:57:35Z","282","251","DynamoDB; EC2; IAM; SNS","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","EJS","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","14","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:29.231291"
"aws-samples/aws-proton-cloudformation-sample-templates","https://github.com/aws-samples/aws-proton-cloudformation-sample-templates","Sample templates for AWS Proton","2020-11-15T08:30:20Z","2025-08-28T03:30:21Z","282","458","CloudFormation","","Quick Wins","DevOps","Development Efficiency","starter","CloudFormation","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","59","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:29.947036"
"aws-samples/private-llm-qa-bot","https://github.com/aws-samples/private-llm-qa-bot","&nbsp中文&nbsp ｜ <a href="README_EN.md">English</a>&nbsp 一个基于AWS服务和LangChain框架的生产级知识问答chatbot实现; 对各个环节进行了优化。支持向量模型 & 大语言模型的灵活配置插拔。前后端分离，易集成到IM工具(如飞书)。","2023-05-18T15:02:17Z","2025-10-09T03:34:18Z","282","68","CDK","","Innovation Catalysts","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","17","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:31.039640"
"aws-samples/aws-containers-task-definitions","https://github.com/aws-samples/aws-containers-task-definitions","Task Definitions for running common applications Amazon ECS","2017-10-31T23:39:36Z","2025-09-29T17:49:32Z","274","136","EC2; ECS","amazon; container; containers; docker; docker-container; ec2-container-service; ecs; elasticcontainerservice; task","Innovation Catalysts","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","26","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:31.433648"
"aws-samples/aws-amplify-auth-starters","https://github.com/aws-samples/aws-amplify-auth-starters","Starter projects for developers looking to build web & mobile applications that have Authentication & protected routing","2018-11-21T01:41:50Z","2025-01-07T14:02:24Z","274","83","Lambda","android; authentication; aws-amplify; ios; javascript; react; react-native; serverless; vue","Quick Wins","General Development","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","291","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:31.754595"
"aws-samples/codepipeline-nested-cfn","https://github.com/aws-samples/codepipeline-nested-cfn","CloudFormation templates; CodeBuild build specification & Python scripts to perform unit tests of a nested CloudFormation template.","2017-05-31T17:14:15Z","2025-08-24T09:09:18Z","271","291","CloudFormation; CodeBuild; CodeCommit; CodePipeline; VPC","","Quick Wins","DevOps","Development Efficiency","starter","CloudFormation","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","63","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:33.976914"
"aws-samples/eb-py-flask-signup","https://github.com/aws-samples/eb-py-flask-signup","This Python sample application uses the [Flask](http://flask.pocoo.org/) framework and [Bootstrap](http://getbootstrap.com/) to build a simple; scalable customer signup form that is deployed to [AWS Elastic Beanstalk](http://aws.amazon.com/elasticbeanstalk/). The application stores data in [Amazon D","2013-10-16T00:19:58Z","2025-03-23T18:18:26Z","266","161","DynamoDB; SNS","","Foundation Builders","General Development","Development Efficiency","setup","Manual","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","216","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:35.052373"
"aws-samples/step-functions-workflows-collection","https://github.com/aws-samples/step-functions-workflows-collection","Step Functions Workflows. Learn more at the website: https://serverlessland.com/workflows.","2022-06-28T13:58:38Z","2025-10-21T08:53:33Z","262","134","Lambda; Step Functions","serverless; step-functions","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:35.440546"
"aws-samples/image-optimization","https://github.com/aws-samples/image-optimization","Simple; performant and cost efficient solution for optimizing images using Amazon CloudFront; Amazon S3 and AWS Lambda","2022-10-12T13:16:13Z","2025-10-21T03:50:30Z","262","144","CloudFront; Lambda; S3","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:36.199589"
"aws-samples/service-control-policy-examples","https://github.com/aws-samples/service-control-policy-examples","Example AWS Service control policies to get started or mature your usage of AWS SCPs.","2023-02-28T22:32:12Z","2025-10-23T16:33:51Z","262","46","IAM","aws; aws-iam; aws-organizations; aws-scp","Quick Wins","Security","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:36.516526"
"aws-samples/amazon-sagemaker-local-mode","https://github.com/aws-samples/amazon-sagemaker-local-mode","Amazon SageMaker Local Mode Examples","2020-11-05T11:00:27Z","2025-10-16T23:20:47Z","261","64","ECS; SageMaker","amazon-sagemaker; catboost; dask; delta-lake; gensim-word2vec; hdbscan-clustering-algorithm; huggingface; huggingface-transformers; lightgbm; machine-learning; prophet; prophet-model; pycharm; pytorch; pytorch-training; sagemaker; sagemaker-processing; scikit-learn; tensorflow; tensorflow-training","Quick Wins","AI/ML","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","9","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:38.419960"
"aws-samples/one-observability-demo","https://github.com/aws-samples/one-observability-demo","Sample microservice based application demonstrating observability capabilities on AWS","2020-07-22T14:13:59Z","2025-10-22T03:45:12Z","258","149","CloudFormation; CloudWatch; CodePipeline; IAM; Lambda","amazon-api-gateway; amazon-ecs; amazon-eks; amazon-sns; amazon-sqs; aws; aws-lambda; aws-xray; awsfargate; awstepfunctions; cloudwatch; csharp; golang; java; nodejs; observability; observability-demo; opentelemetry; python; servicelens","Foundation Builders","Security","Development Efficiency","visibility","Manual","Production Ready","Beta Ready","Shell","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:38.784027"
"aws-samples/aws-machine-learning-university-dte","https://github.com/aws-samples/aws-machine-learning-university-dte","Machine Learning University: Decision Trees and Ensemble Methods","2020-12-18T04:18:10Z","2025-10-17T01:00:01Z","258","90","SageMaker","boosting; catboost; decision-trees; lightgbm; machine-learning; random-forest; tabular-data; xgboost","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","9","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:39.153524"
"aws-samples/aws-arch-backoff-simulator","https://github.com/aws-samples/aws-arch-backoff-simulator","Simulator for AWS architecture blog (http://www.awsarchitectureblog.com/ ) about jitter and backoff.","2015-02-25T01:05:30Z","2025-10-24T11:36:46Z","255","42","General AWS","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","1","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:39.805723"
"aws-samples/sagemaker-ssh-helper","https://github.com/aws-samples/sagemaker-ssh-helper","A helper library to connect into Amazon SageMaker with AWS Systems Manager and SSH (Secure Shell)","2022-10-14T17:56:45Z","2025-10-20T13:47:19Z","255","34","Batch; IAM; SageMaker","amazon-sagemaker; aws; aws-systems-manager; machine-learning; pycharm; sagemaker; sagemaker-studio; ssh; vscode","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:40.200442"
"aws-samples/generative-ai-amazon-bedrock-langchain-agent-example","https://github.com/aws-samples/generative-ai-amazon-bedrock-langchain-agent-example","- [Overview](#overview) - [Solution Architecture](#solution-architecture)","2023-08-15T02:15:41Z","2025-10-21T08:48:54Z","255","426","Bedrock; DynamoDB","","Quick Wins","AI/ML","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:42.810796"
"aws-samples/aws-net-guides","https://github.com/aws-samples/aws-net-guides",".NET Developer step by step guides for building solutions on AWS","2018-05-15T16:48:58Z","2025-08-06T22:21:22Z","254","98","General AWS","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","80","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:43.591742"
"aws-samples/aws-stepfunctions-examples","https://github.com/aws-samples/aws-stepfunctions-examples","AWS Step Functions is an orchestration service for reliably executing multi-step processes using visual workflows. This repository includes detailed examples that will help you unlock the power of serverless workflow.","2021-03-01T19:31:54Z","2025-09-28T11:56:09Z","254","115","CDK; Rekognition; S3; Step Functions","stepfunctions","Quick Wins","AI/ML","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","27","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:43.986320"
"aws-samples/foundation-model-benchmarking-tool","https://github.com/aws-samples/foundation-model-benchmarking-tool","Foundation model benchmarking tool. Run any model on any AWS platform and benchmark for performance across instance type and serving stack options.","2024-01-09T20:52:34Z","2025-09-30T12:24:28Z","254","43","Batch; Bedrock; EC2; EKS; SageMaker","bedrock; benchmark; benchmarking; deepseek; deepseek-r1; evaluation-metrics; foundation-models; g5; g6; g6e; generative-ai; inferentia; llama2; llama3; p4d; p5; sagemaker; trainium","Foundation Builders","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","25","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:44.404437"
"aws-samples/lambda-refarch-iotbackend","https://github.com/aws-samples/lambda-refarch-iotbackend","Serverless Reference Architecture for creating an IoT Backend","2015-09-17T20:02:08Z","2025-09-23T21:58:03Z","253","84","CloudFormation; DynamoDB; Kinesis; Lambda; S3","","Foundation Builders","Analytics","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Shell","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","32","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:45.142687"
"aws-samples/aws-gamelift-sample","https://github.com/aws-samples/aws-gamelift-sample","A simple full-stack game sample using GameLift and AWS services.","2017-07-14T23:36:46Z","2025-08-09T05:13:12Z","251","66","CloudFormation; CloudFront; DynamoDB; EC2; Lambda","aws; game-development; gamelift; matchmaking; multiplayer-game","Foundation Builders","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","C++","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","78","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:47.065640"
"aws-samples/aws-dbs-refarch-graph","https://github.com/aws-samples/aws-dbs-refarch-graph","Reference Architectures for Graph Databases on AWS","2018-12-24T19:37:00Z","2025-10-21T20:51:13Z","251","48","Neptune","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:47.767624"
"aws-samples/eb-java-scorekeep","https://github.com/aws-samples/eb-java-scorekeep","RESTful web API in Java with Spring that provides an HTTP interface for creating and managing game sessions and users.","2016-10-31T18:08:30Z","2025-09-23T23:05:28Z","247","222","CloudFormation; Cognito; DynamoDB; EC2; ECS","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Java","N/A","Spring/Maven","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","32","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:48.623263"
"aws-samples/aws-cloudfront-samples","https://github.com/aws-samples/aws-cloudfront-samples","Samples for use of AWS CloudFront; including Lambda functions; and SDK usage examples.","2015-10-20T18:23:48Z","2025-07-28T17:53:07Z","244","171","CloudFront; EC2; Lambda; SNS","","Quick Wins","General Development","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","89","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:49.281069"
"aws-samples/sample-devgenius-aws-solution-builder","https://github.com/aws-samples/sample-devgenius-aws-solution-builder","DevGenius is an AI-powered application that transforms project ideas into complete; ready-to-deploy AWS solutions. It leverages Amazon Bedrock and Claude AI models to provide architecture diagrams; cost estimates; infrastructure as code; and comprehensive technical documentation.","2025-04-24T17:21:30Z","2025-09-28T12:28:06Z","243","66","Bedrock; CDK; CloudFormation; CloudFront; Cognito","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","27","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:50.394757"
"aws-samples/amazon-redshift-udfs","https://github.com/aws-samples/amazon-redshift-udfs","A collection of example UDFs for Amazon Redshift.","2015-09-13T06:14:36Z","2025-08-06T19:25:56Z","242","73","IAM; Lambda; Redshift; S3","","Quick Wins","Security","Development Efficiency","starter","Manual","Production Ready","Beta Ready","PLpgSQL","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","80","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:22:52.675220"
