repository,solution_type,competency,customer_problems,solution_marketing,primary_language,secondary_language,aws_services,deployment_tools,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,agentic_capabilities
aws-samples/rekognition-congestion-monitoring,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Older,30,None
aws-samples/amazon-elasticache-redis-and-memcached-java-client-examples,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (11 stars),Recently Updated,30,None
aws-samples/sagemaker-model-monitor-bring-your-own-container,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (13 stars),Recently Updated,30,None
aws-samples/keyless-entry-aws-iot-sample,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (0 stars),Older,30,None
aws-samples/aws-cloud-and-hybrid-operations-workshop,Foundation Builders,DevOps,Development Efficiency,starter,PowerShell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (18 stars),Recently Updated,30,None
aws-samples/cloudfront-app-with-cognito-auth-at-edge,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (6 stars),Older,30,None
aws-samples/aws-comprehend-elasticbeanstalk-for-flask,Foundation Builders,DevOps,Development Efficiency,starter,HTML,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Recently Updated,30,None
aws-samples/explore-uniprotkb-with-amazon-neptune,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Recently Updated,30,None
aws-samples/aws-troubleshoot-iotevents-detector-model,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/nitro-enclaves-windows-examples,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/aws-usage-queries,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (54 stars),Recently Updated,30,None
aws-samples/aws-best-practices-for-xroad-security-servers,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (17 stars),Recently Updated,30,None
aws-samples/aws-cdk-adverse-event-detection-app,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Older,30,None
aws-samples/aws-apigw-apikey-dynamiclookup-cdk,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/aws-modernization-with-circleci,Foundation Builders,DevOps,Development Efficiency,starter,CSS,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/iam-password-policy-deployment-via-cloudformation-stacksets,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (10 stars),Recently Updated,30,None
aws-samples/snowball-uploader,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Older,30,None
aws-samples/amazon-ec2-mac-instance-jenkins-agent,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Recently Updated,30,None
aws-samples/aws-sam-support-aws-cdk,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (40 stars),Recently Updated,30,None
aws-samples/aws-step-functions-saga-pattern-with-sam,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (25 stars),Recently Updated,30,None
aws-samples/aws-next-generation-microservices-dotnet-5-grpc,Foundation Builders,DevOps,Development Efficiency,starter,C#,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (13 stars),Recently Updated,30,None
aws-samples/ses-auto-forward-by-language,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (8 stars),Recently Updated,30,None
aws-samples/serverless-datapipeline-in-privatesubnet,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Older,30,None
aws-samples/amazon-cloudwatch-monitoring-for-couchbase,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Recently Updated,30,None
aws-samples/setup-scheduled-backups-using-aws-backup,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/integrate-aws-codecommit-with-amazon-codeguru,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-secure-mlops,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (89 stars),Recently Updated,30,None
aws-samples/amazon-sqs-message-attributes-starter-kit,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/openbanking-brazilian-auth-samples,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (145 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-xgboost-regression-model-hosting-on-aws-lambda-and-amazon-api-gateway,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Recently Updated,30,None
aws-samples/building-with-amazon-chime,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (11 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-automated-feature-transformation,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (6 stars),Recently Updated,30,None
aws-samples/aws-fault-injection-simulator-workshop,Foundation Builders,DevOps,Development Efficiency,starter,CSS,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (39 stars),Recently Updated,30,None
aws-samples/aws-step-functions-etl-pipeline-pattern,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (54 stars),Recently Updated,30,None
aws-samples/amazon-lookout-for-vision-serverless-app,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (15 stars),Recently Updated,30,None
aws-samples/aws-devops-end-to-end-workshop,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (81 stars),Recently Updated,30,None
aws-samples/sample-application-ecs-and-efs,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Recently Updated,30,None
aws-samples/amazon-ipc-ai-saas,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (10 stars),Older,30,None
aws-samples/enginframe-aurora-serverless,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Older,30,None
aws-samples/amazon-sagemaker-feature-store-in-java,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/cicd-for-networking-resources,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Older,30,None
aws-samples/amazon-sagemaker-shadow-deploy,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Recently Updated,30,None
aws-samples/sagemaker-101-workshop,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (79 stars),Recently Updated,30,None
aws-samples/aws-iot-greengrass-v2-using-aws-cdk,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (20 stars),Recently Updated,30,None
aws-samples/aws-serverless-fullstack-swift-apple-carplay-example,Foundation Builders,DevOps,Development Efficiency,starter,Swift,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (128 stars),Recently Updated,30,None
aws-samples/ipc-h264-hls-c-sdk,Foundation Builders,DevOps,Development Efficiency,starter,C,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (14 stars),Recently Updated,30,None
aws-samples/aws-serverless-nextcloud,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (87 stars),Recently Updated,30,None
aws-samples/iot-device-defender-integration-with-securityhub,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Older,30,None
aws-samples/cloudformation-blog-iot-data-ingestion,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/aws-secrets-manager-credential-rotation-without-container-restart,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Recently Updated,30,None
aws-samples/vpc-service-catalog-product-infoblox-ipam,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/digav-blueprint,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Recently Updated,30,None
aws-samples/cdk-qldb-streaming,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (11 stars),Older,30,None
aws-samples/build-and-deploy-docker-images-to-aws-using-ec2-image-builder,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (19 stars),Recently Updated,30,None
aws-samples/apigateway-vpcendpoints,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (22 stars),Recently Updated,30,None
aws-samples/aws-serverless-file-download,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (14 stars),Recently Updated,30,None
aws-samples/aws-serverless-app-with-aurora-and-python-sql-alchemy-example,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (66 stars),Recently Updated,30,None
aws-samples/aws-waf-manage-rate-based-rules,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Recently Updated,30,None
aws-samples/eks-logging-es-cognito,Foundation Builders,DevOps,Development Efficiency,starter,Go,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/amazon-cognito-vue-workshop,Foundation Builders,DevOps,Development Efficiency,starter,Vue,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (14 stars),Recently Updated,30,None
aws-samples/amazon-aurora-migration-from-azuresqldb-sqlsync,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (0 stars),Older,30,None
aws-samples/amazon-sagemaker-tensorflow-serving-grpc,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (8 stars),Older,30,None
aws-samples/cognito-device-grant-flow,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (28 stars),Recently Updated,30,None
aws-samples/amazon-location-service-geotrack-vuejs,Foundation Builders,DevOps,Development Efficiency,starter,Vue,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (18 stars),Recently Updated,30,None
aws-samples/serverless-streaming-data-application,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (45 stars),Recently Updated,30,None
aws-samples/prisma-lambda-cdk,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (108 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-unity-game-simulation,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-neo-performance-gains,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Recently Updated,30,None
aws-samples/ai-based-windturbine-inspection-blogpost,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Recently Updated,30,None
aws-samples/cognito-device-grant-flow-cleaning,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/mount-amazon-fsx-on-amazon-ec2,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Older,30,None
aws-samples/contact-trace-record-consumer-typescript-sample,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/amazon-ec2-instance-type-upgrade-scheduler,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (2 stars),Older,30,None
aws-samples/amazon-sagemaker-xgboost-regression-model-hosting-on-amazon-ecs-fargate-and-amazon-api-gateway,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Recently Updated,30,None
aws-samples/data-transformation-of-rds-using-glue-databrew,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/amazon-ec2-mac-getting-started,Foundation Builders,DevOps,Development Efficiency,starter,AppleScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (85 stars),Recently Updated,30,None
aws-samples/amazon-eks-bottlerocket-nodes-on-graviton2,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (10 stars),Older,30,None
aws-samples/amazon-route-53-record-auto-linker,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/aws-cloudwatch-usage-metric-dashboard-examples,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Older,30,None
aws-samples/cdk-bootstrapless-synthesizer,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (45 stars),Recently Updated,30,None
aws-samples/aws-batch-runtime-monitoring,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (62 stars),Recently Updated,30,None
aws-samples/amazon-neptune-aws-config-visualization,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (22 stars),Older,30,None
aws-samples/calc-s3-etag,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (3 stars),Recently Updated,30,None
aws-samples/aws-privatelink-interface-endpoint-monitoring,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Recently Updated,30,None
aws-samples/ccp-react-dashboard-example,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Recently Updated,30,None
aws-samples/i-love-my-local-farmer,Foundation Builders,DevOps,Development Efficiency,starter,Java,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (76 stars),Recently Updated,30,None
aws-samples/aws-modernization-workshop-with-gitlab,Foundation Builders,DevOps,Development Efficiency,starter,CSS,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/aws-lake-formation-permissions-automation,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Older,30,None
aws-samples/cdk-typescript-lambda,Foundation Builders,DevOps,Development Efficiency,starter,TypeScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (18 stars),Recently Updated,30,None
aws-samples/amazon-ecs-fullstack-app-terraform,Foundation Builders,DevOps,Development Efficiency,starter,HCL,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (188 stars),Recently Updated,30,None
aws-samples/amazon-sagemaker-kernel-builder,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Older,30,None
aws-samples/dynamodb-consumed-capacity-check-tool,Foundation Builders,DevOps,Development Efficiency,starter,Go,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (5 stars),Recently Updated,30,None
aws-samples/aws-saas-factory-hybrid-saas-identity,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (19 stars),Recently Updated,30,None
aws-samples/aws-system-manager-automation-unencrypted-to-encrypted-resources,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (29 stars),Recently Updated,30,None
aws-samples/drupal-on-ecs-fargate,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (18 stars),Recently Updated,30,None
aws-samples/honeycode-orm-builder,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Older,30,None
aws-samples/operational-insights-bigdata-blog,Foundation Builders,DevOps,Development Efficiency,starter,,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (1 stars),Older,30,None
aws-samples/ssm-automation-deploy-sql-developer,Foundation Builders,DevOps,Development Efficiency,starter,C#,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (6 stars),Recently Updated,30,None
aws-samples/machine-learning-pipelines-for-multimodal-health-data,Foundation Builders,DevOps,Development Efficiency,starter,Jupyter Notebook,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (24 stars),Recently Updated,30,None
aws-samples/aws-iot-device-provisioning-via-sideload-reg-codes-with-s3-upload,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (7 stars),Recently Updated,30,None
aws-samples/sagemaker-rl-energy-storage-system,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (27 stars),Recently Updated,30,None
aws-samples/aws-shadow-deployment,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Recently Updated,30,None
aws-samples/lets-build-on-aws-iot,Foundation Builders,DevOps,Development Efficiency,starter,C++,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (11 stars),Recently Updated,30,None
aws-samples/amazon-lex-migration-utility,Foundation Builders,DevOps,Development Efficiency,starter,JavaScript,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (4 stars),Recently Updated,30,None
aws-samples/serverless-wallet,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (20 stars),Recently Updated,30,None
aws-samples/amazon-location-safety-tracker,Foundation Builders,DevOps,Development Efficiency,starter,Swift,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (12 stars),Recently Updated,30,None
aws-samples/kafka-connect-mm2,Foundation Builders,DevOps,Development Efficiency,starter,Dockerfile,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (13 stars),Recently Updated,30,None
aws-samples/aws-securityhub-score-generator,Foundation Builders,DevOps,Development Efficiency,starter,Python,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (30 stars),Recently Updated,30,None
aws-samples/aws-systems-manager-port-forwarding-for-amazon-elasticache,Foundation Builders,DevOps,Development Efficiency,starter,Shell,,Multiple,CloudFormation,Medium ($1K-10K),Half-day Setup,High,Developers,Infrastructure,Medium,Low,High,Popular solution (9 stars),Recently Updated,30,None
