repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/graphql-schema-utilities,https://github.com/awslabs/graphql-schema-utilities,"A CLI tool to merge schema files, and validate operations against the merged GraphQL Schema. With features like adding your own custom validation rules.",2019-07-01T21:49:48Z,2025-01-26T15:46:19Z,93,24,Innovation Catalysts,enablement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,270,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:00.168967
awslabs/aws-iot-core-websockets,https://github.com/awslabs/aws-iot-core-websockets,A library that handles connecting third-party websockets based MQTT clients to AWS IoT Core.,2019-07-01T21:59:51Z,2025-08-29T21:07:38Z,26,5,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,55,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169008
awslabs/results-iterator-for-aws-java-sdk,https://github.com/awslabs/results-iterator-for-aws-java-sdk,A library that handles iterating over results from the AWS Java SDK with minimal boilerplate,2019-07-01T22:11:53Z,2024-08-21T20:12:51Z,9,5,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,428,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169041
awslabs/amazon-s3-step-functions-ingestion-orchestration,https://github.com/awslabs/amazon-s3-step-functions-ingestion-orchestration,Design pattern for orchestrating an incremental data ingestion pipeline using AWS Step Functions from an on premise location into an Amazon S3 datalake bucket,2019-07-03T18:55:15Z,2024-06-27T20:18:50Z,28,13,Foundation Builders,readiness,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,S3,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,483,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169092
awslabs/cloud-templates-ruby-graphviz,https://github.com/awslabs/cloud-templates-ruby-graphviz,GraphViz render for cloud-templates-ruby. Generates visual representation for arbitrary model.,2019-07-08T17:13:21Z,2025-04-25T04:44:41Z,1,3,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Production-Ready,Ruby,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,182,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169125
awslabs/aws-rails-provisioner,https://github.com/awslabs/aws-rails-provisioner,Define and deploy containerized Ruby on Rails Applications on AWS,2019-07-10T23:52:14Z,2025-07-13T06:00:54Z,200,19,Innovation Catalysts,readiness,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,103,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:00.169157
awslabs/amazon-eks-serverless-drainer,https://github.com/awslabs/amazon-eks-serverless-drainer,Amazon EKS node drainer with AWS Lambda.,2019-07-23T16:37:26Z,2025-08-07T03:18:51Z,60,15,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS Lambda,"Lambda, EKS","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,78,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:00.169192
awslabs/ai-powered-health-data-masking,https://github.com/awslabs/ai-powered-health-data-masking,A solution enabling customers to quickly deploy an architecture to identify and mask sensitive health data,2019-08-05T18:56:28Z,2025-04-09T11:04:29Z,26,7,Foundation Builders,innovation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,198,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169238
awslabs/amazon-ecs-intellisense-schema,https://github.com/awslabs/amazon-ecs-intellisense-schema,"Generates a JSON schema file that provides intellisense (documentation lookup, code completion,  and syntax validation) for ECS task definition parameters.",2019-08-07T16:21:03Z,2025-07-29T09:02:56Z,19,6,Foundation Builders,guidance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,ECS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,87,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169297
awslabs/aws-multi-account-viewer,https://github.com/awslabs/aws-multi-account-viewer,Serverless app designed for any customer with two or more accounts to view resources across accounts/regions in simple single pane of glass website,2019-08-15T00:12:35Z,2025-09-13T19:13:27Z,111,40,Foundation Builders,landingzone,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,40,No,"aws, cloudformation, cloudformation-templates, organizations, python, serverless",S3-Based Complete Analysis,2025-10-24T13:22:00.169337
awslabs/aws-academy-educator-toolkit,https://github.com/awslabs/aws-academy-educator-toolkit,"AWS Academy Extras provides tools and content to AWS Academy Educators such as grading scripts, cloud formation lab templates, or custom student labs for collaboration to other AWS Academy Educators.",2019-08-22T19:13:03Z,2025-09-07T17:00:39Z,27,23,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,PowerShell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,46,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169377
awslabs/aws-clustered-video-streams,https://github.com/awslabs/aws-clustered-video-streams,A clustered video stream is an AWS architecture that increases the quality and reliability of live events by providing seamless regional failover capabilities for live video steams.  Operators can monitor the status of the clustered stream from a single pane of glass and dynamically control from which region the stream consumed by a player originates.,2019-08-26T17:20:13Z,2024-09-09T00:25:19Z,42,9,Innovation Catalysts,visibility,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,410,Yes,"hls, hls-live-streaming, hls-video, mediapackage, mediastore, monitoring, monitoring-tool, outage, playlist, playlist-parser, streaming-video",S3-Based Complete Analysis,2025-10-24T13:22:00.169434
awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,https://github.com/awslabs/amazon-kinesis-video-streams-webrtc-sdk-c,"Amazon Kinesis Video Streams Webrtc SDK is for developers to install and customize realtime communication between devices and enable secure streaming of video, audio to Kinesis Video Streams.",2019-08-27T20:16:16Z,2025-10-23T03:36:36Z,1139,364,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Half-day Setup (1-4 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Popular community solution (1139+ stars),Active,1,No,"kinesis-video-streams, webrtc, webrtc-sdk",S3-Based Complete Analysis,2025-10-24T13:22:00.169475
awslabs/aws-sam-codepipeline-cd,https://github.com/awslabs/aws-sam-codepipeline-cd,A serverless app that sets up an AWS CodePipeline pipeline for a given GitHub repo. This app allows people developing SAM applications to quickly get CodePipeline-based CD setup for their project.,2019-09-04T18:14:49Z,2025-08-04T23:42:11Z,89,62,Foundation Builders,setup,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,80,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169511
awslabs/aws-sam-codebuild-ci,https://github.com/awslabs/aws-sam-codebuild-ci,A serverless app sets up an AWS CodeBuild Project as a CI solution for a GitHub-based SAM project. This app allows people developing SAM applications to quickly get a CodeBuild-based CI setup for their project.,2019-09-09T20:27:11Z,2025-04-04T02:07:11Z,27,22,Foundation Builders,setup,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Multiple,"Python, JavaScript",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,203,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169546
awslabs/disco,https://github.com/awslabs/disco,"A suite of tools including a framework for creating Java Agents, for aspect-oriented tooling for distributed systems.",2019-09-13T17:53:10Z,2025-08-13T11:20:45Z,67,12,Innovation Catalysts,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,72,Yes,"agent, agents, aspect-oriented-programming, context-propagation, java, jvm, jvm-bytecode, jvm-languages",S3-Based Complete Analysis,2025-10-24T13:22:00.169594
awslabs/amazon-kinesis-video-streams-webrtc-sdk-js,https://github.com/awslabs/amazon-kinesis-video-streams-webrtc-sdk-js,JS SDK for interfacing with the Amazon Kinesis Video Streams Signaling Service.,2019-09-14T00:49:34Z,2025-10-10T20:41:38Z,311,155,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,13,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169657
awslabs/analyze-binary-tools,https://github.com/awslabs/analyze-binary-tools,Binary analysis tools and frameworks,2019-09-20T10:51:06Z,2024-11-08T05:25:20Z,8,1,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,350,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169692
awslabs/secrets-manager-signature-tools,https://github.com/awslabs/secrets-manager-signature-tools,A lightweight wrapper over NodeJS native crypto library for content signing and verification. This library interfaces with AWS Secrets Manager to fetch stored secrets for the signature processes to reduce boilerplate secret management in your code.,2019-09-24T20:23:54Z,2023-01-27T23:40:34Z,6,4,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1000,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169737
awslabs/ml-io,https://github.com/awslabs/ml-io,A high performance data access library for machine learning tasks,2019-09-24T23:42:48Z,2024-03-21T22:23:35Z,74,23,Quick Wins,optimise,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C++,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"High AWS Costs, Resource Waste, Manual Processes",Reliable AWS solution,Stale,581,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169768
awslabs/scale-out-computing-on-aws,https://github.com/awslabs/scale-out-computing-on-aws,Scale-Out Computing on AWS is a solution that helps customers deploy and operate a multiuser environment for computationally intensive workflows.,2019-10-02T20:34:06Z,2025-08-23T06:45:33Z,132,62,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Medium ($100-1000/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,62,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169825
awslabs/aws-backup-dynamodb-rotator,https://github.com/awslabs/aws-backup-dynamodb-rotator,The AWS Backup DynamoDB Rotator restores DynamoDB backups to a new timestamped table based on patterns you specify.,2019-10-03T04:56:16Z,2023-12-19T02:38:10Z,9,5,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,675,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169868
awslabs/aws-iot-core-accelerators,https://github.com/awslabs/aws-iot-core-accelerators,"Deployable solutions for AWS IoT core for common design patterns, or to address specific use-cases.",2019-10-08T20:44:37Z,2022-03-20T23:11:20Z,8,2,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1313,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169909
awslabs/iot-channel-using-amazon-pinpoint,https://github.com/awslabs/iot-channel-using-amazon-pinpoint,AWS solution that enables customers to send Pinpoint campaigns to device as a channel leveraging the IoT message broker.,2019-10-09T00:12:55Z,2023-07-19T14:12:51Z,6,0,Innovation Catalysts,enablement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,827,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:00.169949
awslabs/aws-embedded-metrics-node,https://github.com/awslabs/aws-embedded-metrics-node,Amazon CloudWatch Embedded Metric Format Client Library,2019-10-09T16:10:55Z,2025-08-28T04:07:44Z,256,38,Foundation Builders,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,57,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.169984
awslabs/aws-athena-query-federation,https://github.com/awslabs/aws-athena-query-federation,The Amazon Athena Query Federation SDK allows you to customize Amazon Athena with your own data sources and code.,2019-10-15T20:51:45Z,2025-10-24T12:25:54Z,592,329,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170036
awslabs/amazon-qldb-driver-python,https://github.com/awslabs/amazon-qldb-driver-python,A Python implementation of a driver for Amazon QLDB.,2019-10-15T22:25:43Z,2024-05-24T19:06:16Z,42,26,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,517,No,amazon-qldb,S3-Based Complete Analysis,2025-10-24T13:22:00.170082
awslabs/auto-check-in-app,https://github.com/awslabs/auto-check-in-app,The Auto Check-In App automatically provisions the products and services necessary to configure facial comparison and search for event check-in.,2019-10-15T22:35:58Z,2025-05-07T15:30:08Z,30,14,Foundation Builders,readiness,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,169,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170128
awslabs/amazon-qldb-driver-nodejs,https://github.com/awslabs/amazon-qldb-driver-nodejs,A NodeJs implementation of a driver for Amazon QLDB.,2019-10-15T22:36:04Z,2025-04-04T02:06:54Z,54,22,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,203,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170172
awslabs/amazon-qldb-driver-java,https://github.com/awslabs/amazon-qldb-driver-java,A Java implementation of a driver for Amazon QLDB.,2019-10-16T00:35:29Z,2022-06-30T16:42:03Z,13,12,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1211,No,amazon-qldb,S3-Based Complete Analysis,2025-10-24T13:22:00.170218
awslabs/secrets-helper,https://github.com/awslabs/secrets-helper,secrets-helper helps you use AWS Secrets Manager to secure the use of CLI tools,2019-10-22T18:56:47Z,2025-04-10T01:49:55Z,18,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,197,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170259
awslabs/tough,https://github.com/awslabs/tough,Rust libraries and tools for using and generating TUF repositories,2019-10-23T20:44:14Z,2025-10-08T08:56:15Z,215,63,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Rust,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,16,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170298
awslabs/aws-embedded-metrics-python,https://github.com/awslabs/aws-embedded-metrics-python,Amazon CloudWatch Embedded Metric Format Client Library,2019-10-24T20:02:12Z,2025-09-19T15:05:55Z,219,39,Foundation Builders,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,34,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.170334
awslabs/aws-parallelcluster-pipeline-gatk-quick-start,https://github.com/awslabs/aws-parallelcluster-pipeline-gatk-quick-start,,2019-10-25T20:42:14Z,2024-07-19T20:45:17Z,15,2,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,461,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.688403
awslabs/amazon-asdi,https://github.com/awslabs/amazon-asdi,Docs and supporting material for the Amazon Sustainability Data Initiative.,2019-10-29T20:59:27Z,2025-09-09T21:08:28Z,85,36,Innovation Catalysts,enablement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Jupyter Notebook,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,44,Yes,"aws, data, sustainability",S3-Based Complete Analysis,2025-10-24T13:22:00.688752
awslabs/aws-alb-identity-aspnetcore,https://github.com/awslabs/aws-alb-identity-aspnetcore,Identity Middleware for ASP.NET Core web applications running behind an Application Load Balancer (ALB) configured with the OpenID Connect authentication feature.,2019-11-01T00:23:39Z,2024-12-30T20:49:55Z,8,6,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C#,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,297,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.688833
awslabs/unicornflix,https://github.com/awslabs/unicornflix,"Learn how to manage, process, host, and authorize access to streaming video content by building UnicornFlix",2019-11-05T22:37:34Z,2025-01-26T23:19:39Z,204,73,Foundation Builders,guidance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,270,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.688891
awslabs/amazon-kinesis-video-streams-webrtc-sdk-android,https://github.com/awslabs/amazon-kinesis-video-streams-webrtc-sdk-android,Android SDK for interfacing with  Amazon Kinesis Video Streams Signaling Service.,2019-11-08T20:48:39Z,2025-10-06T21:21:22Z,63,44,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,17,No,"andriod, android-device, android-sdk, aws, peer-streaming, streaming-video, video-streaming, webrtc, webrtc-sdk",S3-Based Complete Analysis,2025-10-24T13:22:00.688960
awslabs/amazon-kinesis-video-streams-webrtc-sdk-ios,https://github.com/awslabs/amazon-kinesis-video-streams-webrtc-sdk-ios,iOS SDK for interfacing with the Amazon Kinesis Video Streams Signaling Service.,2019-11-08T22:23:36Z,2025-09-27T02:14:39Z,70,33,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Swift,"Python, JavaScript",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,27,No,"camera, cocoapods, peer-streaming, swift, video-streaming, webrtc-sdk, xcode",S3-Based Complete Analysis,2025-10-24T13:22:00.689023
awslabs/cognito-at-edge,https://github.com/awslabs/cognito-at-edge,Serverless authentication solution to protect your website or Amplify application,2019-11-09T01:11:04Z,2025-10-20T08:39:54Z,222,62,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,4,No,,S3-Based Complete Analysis,2025-10-24T13:22:00.689075
